property_name	street_address	city	state	zip_code	unit_count
Murray Ridge	4115 S 430 E	Salt Lake City	UT	84107	
Aspenwood Apartments	4139 S 4080 West	Salt Lake City	UT	84120	
	415 E 1st Avenue	Salt Lake City	UT	84103	
Cresthaven Apartments	4151 N Traverse Mountain Boulevard	Lehi	UT	84043	
Mountain View at Riverdale	4250 S 1000 W	Riverdale	UT	84405	80
	4255 S Main Street	Murray	UT	84107	311
Fairstone Apartments	4341 Riverboat Road	Salt Lake City	UT	84123	
Marmalade Hill Apartments	439 N 200 W	Salt Lake City	UT	84103	
Holladay on Ninth Apartments	4418 S Lemans Drive	Salt Lake City	UT	84124	
	4422 S Muirfield Drive	Salt Lake City	UT	84124	284
	445 E 800 N	No Ogden	UT	84404	
	4532 Cave Run Lane	South Jordan	UT	84095	
	456 E 100 N	Logan	UT	84321	
	456 Granite Avenue	Salt Lake City	UT	84115	
	462 Canyon Road	Ogden	UT	84404	
	4639 S Sunstone Road	Taylorsville	UT	84123	404
	470 E 100 S	Ephraim	UT	84627	36
	478-484 Robert Avenue	Salt Lake City	UT	84115	
	480 E Brandt Court	Salt Lake City	UT	84107	84
Hunters Woods Apartments	4924 S Murray Boulevard	Salt Lake City	UT	84123	
Christopher Village	4935 Old Post Road	Ogden	UT	84047	
Crossing at Daybreak Apartment Homes	4950 W Frogs Leap Drive	South Jordan	UT	84095	315
	5 Riverside Drive	Logan	UT	84321	
	501 E Center Street	Bountiful	UT	84010	
	5091 Opal Hill Drive	West Jordan	UT	84081	
	511 W 200 S	Salt Lake City	UT	84101	
Cobble Creek Apartment Homes	5251 S 1300 E	Salt Lake City	UT	84117	361
Mulberry Park Apartments	5287 Dewberry Lane	Salt Lake City	UT	84118	
	530 W Murray Boulevard	Murray	UT	84123	
	532-534 S Pine Cone Way	Ogden	UT	84404	
	54 S 600 W	Logan	UT	84321	
Layton Meadows	540 W 1425 N	Layton	UT	84041	
	545 E 200 S	Kaysville	UT	84037	
	545-551 Tiffany Town	Midvale	UT	84047	
	546 E 450 S	Clearfield	UT	84015	
	548 N Marion Street 1040 W	Salt Lake City	UT	84116	
Autumn Glen	5490 S 3910 W	Taylorsville	UT	84129	100
Boulder Canyon	5517 W Slate Canyon Drive 7915 So	West Jordan	UT	84081	
The Mercer	556 E 300 S	Salt Lake City	UT	84102	
Stillwater	5560 S Vine Street	Murray	UT	84107	456
	5601 S Redwood Road	Taylorsville	UT	84123	
Timbergate Apartments	5605 W 11830 S	Herriman	UT	84096	288
	5657 W 11840 S	Herriman	UT	84096	496
	5683 S Redwood Road	Salt Lake City	UT	84123	
	569 S Montgomery Street 1575w	Salt Lake City	UT	84104	
	57 N 900 W	American Fork	UT	84003	121
	604 E Kensington Avenue	Salt Lake City	UT	84105	
	6152 S Vine Hill Lane	Salt Lake City	UT	84121	138
	619 Angie Circle	Midvale	UT	84047	
Legacy Village Apartments	6256 S Gold Medal Drive	Taylorsville	UT	84129	
James Pointe	632 E 6400 S	Murray	UT	84107	312
	640 N 80 W	Logan	UT	84321	
	652 E 700 S	Salt Lake City	UT	84102	
	676678 31 St	Ogden	UT	84403	
	684 W 800 N	Clinton	UT	84015	60
Springs of Country Woods	6945 S Well Wood Road	Midvale	UT	84047	
Wasatch Club Apartments	6960 S State Street	Midvale	UT	84047	
	71 Orchard Street	North Salt Lake	UT	84054	
	715 E 3900 S	Salt Lake City	UT	84107	
	715 W 3900 S	Riverdale	UT	84405	
	723 E 800 N	Logan	UT	84321	
Pinehurst Apartments	7311 S Union Creek Way	Midvale	UT	84047	174
Remington Apartments	7400 S State Street	Midvale	UT	84047	
	742 N 100 E	Tooele	UT	84074	76
	7555 S Union Park Avenue	Midvale	UT	84047	
